Layer,From,N,Params,Module,Arguments
64,61,1,0,SiLU,[]
65,60,1,0,Conv,[]
66,65,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
67,65,1,0,BatchNorm2d,[]
68,65,1,0,SiLU,[]
69,59,1,0,Bottleneck,[]
70,69,1,0,Conv,[]
71,70,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
72,70,1,0,BatchNorm2d,[]
73,70,1,0,SiLU,[]
74,69,1,0,Conv,[]
75,74,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
76,74,1,0,BatchNorm2d,[]
77,74,1,0,SiLU,[]
78,59,1,0,Bottleneck,[]
79,78,1,0,Conv,[]
80,79,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
81,79,1,0,BatchNorm2d,[]
82,79,1,0,SiLU,[]
83,78,1,0,Conv,[]
84,83,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
85,83,1,0,BatchNorm2d,[]
86,83,1,0,SiLU,[]
87,59,1,0,Bottleneck,[]
88,87,1,0,Conv,[]
89,88,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
90,88,1,0,BatchNorm2d,[]
91,88,1,0,SiLU,[]
92,87,1,0,Conv,[]
93,92,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
94,92,1,0,BatchNorm2d,[]
95,92,1,0,SiLU,[]
96,59,1,0,Bottleneck,[]
97,96,1,0,Conv,[]
98,97,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
99,97,1,0,BatchNorm2d,[]
100,97,1,0,SiLU,[]
101,96,1,0,Conv,[]
102,101,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
103,101,1,0,BatchNorm2d,[]
104,101,1,0,SiLU,[]
105,59,1,0,Bottleneck,[]
106,105,1,0,Conv,[]
107,106,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
108,106,1,0,BatchNorm2d,[]
109,106,1,0,SiLU,[]
110,105,1,0,Conv,[]
111,110,1,0,Conv2d,"kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), dilation=(1, 1)"
112,110,1,0,BatchNorm2d,[]
113,110,1,0,SiLU,[]
114,0,1,0,Conv,[]
115,114,1,0,Conv2d,"kernel_size=(3, 3), stride=(2, 2), padding=(1, 1), dilation=(1, 1)"
116,114,1,0,BatchNorm2d,[]
117,114,1,0,SiLU,[]
118,0,1,0,C2f,[]
119,118,1,0,Conv,[]
120,119,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
121,119,1,0,BatchNorm2d,[]
122,119,1,0,SiLU,[]
123,118,1,0,Conv,[]
124,123,1,0,Conv2d,"kernel_size=(1, 1), stride=(1, 1), padding=(0, 0), dilation=(1, 1)"
125,123,1,0,BatchNorm2d,[]
